example,ngram,pattern,term
I was still anxious about it when I went home.,anxious about it,anxious about n,about
What is you view about it?,view about it,view about n,about
Was insistent about it.,insistent about it,insistent about n,about
I was very keen about it.,keen about it,keen about n,about
I just learnt to rise above it.,rise above it,rise above n,above
"Once you've tried all of the above, it's time for dessert.",the above,the above,above
"Christian, to abscond from his mistress.",abscond from his,abscond from n,abscond
Beadle could be trusted not to abscond with the money.,abscond with the money,abscond with n,abscond
Alvarado announced he was taking a paid leave of absence from his job.,absence from his,absence from n,absence
Calls of the Isouse are seldom made except in the absence of a quorum.,absence of a quorum,absence of n,absence
"In absence of viable mass transit options, I oppose this tax.",in absence,in absence,absence
They’re going to have to get used to his absence.,his absence,"x+'s absence",absence
"He does absent himself from his office, and of that I have personal knowledge.",absent himself from his,absent n from n,absent
Hameed was curiously absent from his list.,absent from his,absent from n,absent
"M., did without leave or cause absent himself from a regular drill of said company.",absent himself,absent pron-refl,absent
No one can absolve him of his responsibility.,absolve him of his,absolve n of n,absolve
Sleekly can absolve you from your sins ?,absolve you from your sins,absolve n from n,absolve
Too absorbed in his own stuff to even glance at Bermudians.,absorbed in his,absorbed in n,absorbed
Cholesterol is not easily absorbed by the body.,absorbed by the body,absorbed by n,absorbed
Shock absorption in the heel could be better.,absorption in the heel,absorption in n,absorption
"As a result, iron absorption into the body decreases.",absorption into the body,absorption into n,absorption
One of his researches connected the subject of absorption with his work on polarisation.,absorption with his,absorption with n,absorption
These elements were recognized in eleven of the absorption of the moral of the fable by the fables.,absorption of the moral,absorption of n,absorption
The RNA was quantified by its absorption at 260 nm.,its absorption,"x+'s absorption",absorption
Condition — that he forever abstain from the use of intoxicating liquors.,abstain from the use,abstain from n,abstain
Total : abstention from the use of intoxicattries.,abstention from the use,abstention from n,abstention
Is it absurd to speak of an idea of infinity at all ?,is it absurd to speak,v it absurd to-inf,absurd
Did we just go into the theater of the absurd?,the absurd,the absurd,absurd
I think it is absurd to think that.,it is absurd to think,it v-link absurd to-inf,absurd
It is absurd that Noakes is being vilified.,it is absurd that,it v-link absurd that,absurd
I do not find it absurd that a being might possess and manifest powers of this sort.,find it absurd that,v it absurd that,absurd
It is absurd how this diabolical piece of legislation ever got into this act.,it is absurd how,it v-link absurd what/how,absurd
For it is absurd if of [ 25 ] be the same.,it is absurd if,it v-link absurd when/if,absurd
"Out of the Abundance of the Heart, the mouth speaks.",abundance of the heart,abundance of n,abundance
"Summer is upon us, and the fruits are in abundance.",in abundance,in abundance,abundance
The jungle was abundant with a variety of them.,abundant with a variety,abundant with n,abundant
"In a larger sense, any discussion of pending litigation seems an improper abuse of the forum which your committee has provided.",abuse of the forum,abuse of n,abuse
Just look at the people who abuse legal alcohol.,who abuse,n abuse,abuse
The sexual abuse of children is deeply abhorrent to me.,sexual abuse,adj abuse,abuse
"Judge James Spencer, QC, said: “You were rough and abusive towards her.",abusive towards her,abusive towards/toward n,abusive
What is abusive about it ?,abusive about it,abusive about n,abusive
He was abusive to me and to my sisters.,abusive to me,abusive to n,abusive
"Where practicable, the opening shall abut on a public alley, so that the scavenger may remove the night soil without entering the premises.",abut on a public,abut on n,abut
The internet was soon abuzz with the news.,abuzz with the news,abuzz with n,abuzz
"I went to a military school, Howe Military Academy.",military academy,adj academy,academy
One option was the cancellation of the police academy.,the police academy,n academy,academy
States which are not parties to the present Convention shall be allowed to accede to it upon their request.,accede to it,accede to n,accede
Parking and then accelerate to maximum speed loop.,accelerate to,accelerate prep/adv,accelerate
Parking and then accelerate to maximum speed loop.,accelerate to,accelerate adv/prep,accelerate
Moving to a new regime will involve a one-off acceleration in the rate at which losses can be used.,acceleration in the rate,acceleration in n,acceleration
Aqua Blue glass bottle with French Le Malines on the front and silver accent on the neck elegantly designed and crafted that is sure to impress and enhance any room.,accent on the neck,accent on n,accent
The series starts Friday in Accent.,in accent,in accent,accent
I wasn’t going to accept that I was done at football.,accept that,accept that,accept
We accept the following assumptions.,accept the following,accept n,accept
They forced the world to accept them as they were.,accept them as they,accept n as n,accept
Someone that can accept me for who I am.,accept me for who,accept n for n,accept
"However, reasonable variation in costs is acceptable as it remains site specific.",acceptable as it,acceptable as n,acceptable
Acceptable for you means I move.,acceptable for you,acceptable for n,acceptable
Is that acceptable to you?,acceptable to you,acceptable to n,acceptable
It is acceptable to use clove oil or raw clove.,it is acceptable to use,it v-link acceptable to-inf,acceptable
"When, if ever, is it acceptable to leave a bad tip?",is it acceptable to leave,v it acceptable to-inf,acceptable
Why is it acceptable that they can use “shrewd” negotiation tactics?,is it acceptable that,v it acceptable that,acceptable
Public One index of acceptance among the general public is use of hospital.,acceptance among the general,acceptance among pl-n,acceptance
The best fitting candidates were offered acceptance into the program.,acceptance into the program,acceptance into n,acceptance
Acceptance of the foregoing ordinance by the I.,acceptance of the foregoing,acceptance of n,acceptance
There is an acceptance that some form of regulation is required.,acceptance that,acceptance that,acceptance
They should take all their acceptance materials with them.,their acceptance,"x+'s acceptance",acceptance
Offers access to this page in Italian.,access to this page,access to n,access
How many more people will suffer without access to this medicine?,without access,without access,access
"Ultimately, access has to take into account accessibility to the content of interest to users.",accessibility to the content,accessibility to n,accessibility
Is the form of the enclosure visually accessible from the major approaches to the setting ?,accessible from the major,accessible from n,accessible
"Distilled, they are as follows: • Basic content must be accessible to any browser.",accessible to any browser,accessible to n,accessible
A change in law after William and Kate wed gave women the same rights of accession to the throne as men.,accession to the throne,accession to n,accession
How else did South Africa justify its accession to BRICS in 2011?,its accession,"x+'s accession",accession
"I fell into that path by accident, and I’m so grateful.",by accident,by accident,accident
It is no accident that investing in marketing yield results.,it is no accident that,it v-link det accident that,accident
Moore’s previous two books have won critical acclaim.,critical acclaim,adj acclaim,acclaim
The vote of thanks was passed by acclamation.,by acclamation,by acclamation,acclamation
The enforced rest also helped Edwards acclimatize to the altitude and regain some of his strength.,acclimatize to the altitude,acclimatize to n,acclimatize
They can acclimatize themselves.,acclimatize themselves,acclimatize pron-refl,acclimatize
You should also be acclimatized to the altitude before attempting the hike.,acclimatized to the altitude,acclimatized to n,acclimatized
The CR was designed to accommodate a variety of organizational structures.,accommodate a variety of,accommodate n adv/prep,accommodate
The CR was designed to accommodate a variety of organizational structures.,accommodate a variety of,accommodate n prep/adv,accommodate
Stay closely attuned to your client and accommodate to their needs.,accommodate to their needs,accommodate to n,accommodate
"Valk in the path defined by rule, and accommodate yourself to the enemy until you can fight C decisive battle.",accommodate yourself to the enemy,accommodate n to n,accommodate
Correlation of accommodation between the two eyes.,accommodation between the two,accommodation between pl-n,accommodation
"Resorts offer accommodation with a wide range of leisure and sporting activities, often but not always on an all-inclusive basis.",accommodation with a wide range,accommodation with n,accommodation
He could improvise on his understandings in accompaniment to his play.,accompaniment to his,accompaniment to n,accompaniment
"Violin 1788, the family left Scotland, and came to Accompaniment.",to accompaniment,to accompaniment,accompaniment
Banks Brass Band will provide the musical accompaniment for the procession.,the musical accompaniment,n accompaniment,accompaniment
His girls will accompany him to St.,accompany him to,accompany n prep/adv,accompany
His girls will accompany him to St.,accompany him to,accompany n adv/prep,accompany
Police parties have been sent to nab his accomplice.,his accomplice,"x+'s accomplice",accomplice
Kids need to claim their accomplishments as their own.,their accomplishments,"x+'s accomplishments",accomplishments
An accord between the government of Canada and the voluntary sector.,accord between the government,accord between pl-n,accord
His dissent is in accord with his reasoning in the Borden case.,accord with his,accord with n,accord
Our assurance is that your role is risk-free to accord this transaction the legality it deserves.,accord this transaction the legality,accord n n,accord
Our results are in accord with those of several studies.,in accord,in accord,accord
We have with one accord and overwhelmingly proclaimed Mr.,one accord,n accord,accord
Under accord.,under accord,under accord,accord
"In accordance with procedure, the funds will be subject to tax.",in accordance,in accordance,accordance
Joe picked up the accordion and played a few scales.,the accordion,the accordion,accordion
Would you like to open an account with us?,account with us,account with n,account
"In other words, cyber thieves can access your checking account a lot easier than your savings account.",account a lot easier,account n adj,account
The account of his speech is in the first person.,account of his,account of n,account
Steps must be completed within 90 days of account opening.,of account,of account,account
The firm’s office was closed on account of the weekend.,on account,on account,account
The company debits my account every month on the 8th.,my account,"x+'s account",account
And Government shall always be accountable to the people.,accountable to the people,accountable to n,accountable
Our leaders have to be held accountable for their actions.,accountable for their actions,accountable for n,accountable
It would accrue to the benefit of the proprietor of the land.,accrue to the benefit,accrue to n,accrue
"Upon the accumulation of a certain number of points, the member is entitled to not only hotel upgrades but free trips.",accumulation of a certain number,accumulation of n,accumulation
Make it easy to verify the accuracy of the information on your site.,accuracy of the information,accuracy of n,accuracy
He’s picking up the pace and scoring with accuracy.,with accuracy,with accuracy,accuracy
I was not so very accurate about it.,accurate about it,accurate about n,accurate
Sounds accurate to me.,accurate to me,accurate to n,accurate
"So, I don't think it is accurate to say there weren't diplomatic efforts.",it is accurate to say,it v-link accurate to-inf,accurate
The accusation of his guilt is forever silenced.,accusation of his,accusation of n,accusation
The police said a workplace sexual harassment accusation against him was the reason.,accusation against him,accusation against n,accusation
An accusation that has been levelled at Scotland for years.,accusation that,accusation that,accusation
He went around making accusation about me to others.,accusation about me,accusation about n,accusation
Why is the accusative left out in these examples?,the accusative,the accusative,accusative
"Speaking to the West, we will accuse you of fomenting hatred.",accuse,accuse,accuse
How could you accuse me of something like that ?,accuse me of something,accuse n of n,accuse
Maybe you will accuse me of being an idler?,accuse me,accuse n,accuse
The accused told her he’d be over in a few minutes.,the accused,the accused,accused
Both the nominee and his accuser deserve a fair hearing.,his accuser,"x+'s accuser",accuser
I will accustom myself to it my sister.,accustom myself to it,accustom n to n,accustom
After a few hours I got accustomed to it.,accustomed to it,accustomed to n,accustomed
"The more you do, the more accustomed you will be to the feeling of speed.",more accustomed you,det accustomed n,accustomed
Ace at it buddy.,ace at it,ace at n,ace
But the ache in his heart tarnishes everything he does.,ache in his,ache in n,ache
I ache to be a part of it.,ache to be,ache to-inf,ache
I want to ache for You.,ache for you,ache for n,ache
I remember the fear as a stomach ache.,a stomach ache,n ache,ache
"It is achievable by anyone and everyone, regardless of education or experience.",achievable by anyone,achievable by n,achievable
How far will I have to travel to achieve this goal?,achieve this goal,achieve n,achieve
The achievement of the objectives is measured through the KPIixk.,achievement of the objectives,achievement of n,achievement
"Acidity of the stomach may, according to Dr.",acidity of the stomach,acidity of n,acidity
"We Jews are the kundalini of faiths, coiled up at the root like a snake waiting for the awakening of all the chakra centers, when all will bow down and acknowledge us as the source.",acknowledge us as the source,acknowledge n as n,acknowledge
Tea alas feld of our most precious men will acknowledge it to be the rule.,acknowledge it to be,acknowledge n to-inf,acknowledge
Some campaign promises acknowledge what is happening here.,acknowledge what,acknowledge wh,acknowledge
And finally I want to acknowledge the people with whom I worked.,acknowledge the people with whom,acknowledge n with n,acknowledge
We acknowledge that in some cases this strategy might be viable.,acknowledge that,acknowledge that,acknowledge
And it took Elliott only a couple of weeks to acknowledge that fact as well as identifying one major fault.,acknowledge that fact as well,acknowledge n as adj,acknowledge
"I will acquaint him with it, and receive his Directions, if he think me capable to ferve him any further.",acquaint him with it,acquaint n with n,acquaint
Did you have any social acquaintance with him ?,acquaintance with him,acquaintance with n,acquaintance
"And it doesn't improve on acquaintance.",on acquaintance,on acquaintance,acquaintance
Watson makes his acquaintance.,his acquaintance,"x+'s acquaintance",acquaintance
"What has been the nature of your acquaintanceship with him, please ?",acquaintanceship with him,acquaintanceship with n,acquaintanceship
How did you make his acquaintanceship ?,his acquaintanceship,"x+'s acquaintanceship",acquaintanceship
"Ruby: Well, he was an only child, so for me it was getting acquainted with his parents.",acquainted with his,acquainted with n,acquainted
I was trying to acquiesce to your request that we summarize.,acquiesce to your request,acquiesce to n,acquiesce
We must charter or grant by the sovereign power of iherefore acquiesce in the necessity which de. each.,acquiesce in the necessity,acquiesce in n,acquiesce
A discharge of a factor implied from acquiescence in his accounts for a series of years.,acquiescence in his,acquiescence in n,acquiescence
Some ill- feeling has since developed between myself and Dzhokhar’s parents over their acquiescence.,their acquiescence,"x+'s acquiescence",acquiescence
Particularly when they acquire it from another company.,acquire it from another company,acquire n from n,acquire
Acquisition of the property would present the county with a couple of options.,acquisition of the property,acquisition of n,acquisition
An additional 2 ms is required for the data acquisition period.,the data acquisition,n acquisition,acquisition
The jury could also acquit him of one or all of the charges.,acquit him of,acquit n prep/adv,acquit
"C., and how did he acquit himself of his duties ?",acquit himself of his,acquit n of n,acquit
The jury could also acquit him of one or all of the charges.,acquit him of,acquit n adv/prep,acquit
Attests to tongue-incheek ownership of one acre of the moon.,acre of the moon,acre of n,acre
It led to acrimony between the two sides.,acrimony between the two,acrimony between pl-n,acrimony
"It's been a deadly week at bus stops across the country.",across the country,across n,across
A smile again flit across his lips.,flit across his,flit across n,across
Many of the reds come across as a bit hard and mean.,come across as a bit,come across as n,across
What message am I trying to get across to you?,get across to you,get across to n,across
Have you come across it?,come across it,come across n,across
He will need to continue to come across as very humble and remorseful.,come across as very,come across as adj,across
This doesn’t just come across in the election of Trump.,come across in,come across adv/prep,across
It needs to be cut across the board.,cut across the board,cut across n,across
"If not, consider this : The people who are starting college this fall across the nation were born in 1980.",fall across the nation,fall across n,across
To watch a muskrat skim across the surface of a small pond.,skim across the surface,skim across n,across
It’s going to be fun to watch this next act unfold.,act,act,act
It’s not a scam and you do need to act on it.,act on it,act on n,act
Shall we act for you ?,act for you,act for n,act
The federal government should act in a manner that builds their trust.,act in a manner,act in n,act
The hospitality business can act as a catalyst for change.,act as a catalyst,act as n,act
The issues are much wider than the Act itself.,act itself,act n,act
We asked students to act as testers for our source code.,act as,act adv/prep,act
We are taking strict action against them.,action against them,action against n,action
"But for now, it was a wise initial action on the part of City Council.",action on the part,action on n,action
The board last week initiated its action against Mr.,its action,"x+'s action",action
You can be as active as you want in this community.,active as you,active as n,active
Oseltamivir is active against most strains of influenza A and influenza B.,active against most strains,active against n,active
"To be eligible for enrolment, subjects had to be on active service as a marine, i.e.",on active service,on active service,active
Airlines are doing the active listening but to no viable end.,the active,the active,active
"It's the last thing you need when on active duty.",on active duty,on active duty,active
Even their wives were in the dark about their activities.,their activities,"x+'s activities",activities
Cyanide inhibited the activity of the enzyme.,activity of the enzyme,activity of n,activity
"In actuality, nobody has seen the young girl in days.",in actuality,in actuality,actuality
How has the business acumen of Tonye Cole helped Rivers State?,the business acumen,n acumen,acumen
"I'd like to master a greater financial acumen.",financial acumen,adj acumen,acumen
"Along with his acumen on the battlefield, Mr.",his acumen,"x+'s acumen",acumen
"The patient's general condition improved and his acute renal failure regressed.",his acute,n acute,acute
The old adage about an ounce being better than a pound is particularly pertinent to incipient stammering.,adage about an ounce,adage about n,adage
There is a market adage that a rising tide lifts all ships.,adage that,adage that,adage
Again he was adamant in his judgment.,adamant in his,adamant in n,adamant
"Others were not so adamant on this point, however.",adamant on this point,adamant on n,adamant
He was quite adamant about it.,adamant about it,adamant about n,adamant
He was adamant that Miller be jailed for breaking the law.,adamant that,adamant that,adamant
The unreasonable man persists in trying to adapt the world to himself.,adapt the world to himself,adapt n to n,adapt
How can employers adapt to the changing future of work?,adapt to the changing,adapt to n,adapt
Red maple trees are adaptable to a variety of growing conditions.,adaptable to a variety,adaptable to n,adaptable
Culture is a potent instrument for adaptation to the environment.,adaptation to the environment,adaptation to n,adaptation
Our method will be a bit ad hoc but adapted to the needs of this paper.,adapted to the needs,adapted to n,adapted
Add in the fact that Mr.,add in the fact,add in n,add
Add on a salad or sandwich to complete the meal.,add on,add on,add
"Prices will go up tomorrow, so add to your cart ASAP!",add to your cart,add to n,add
"You'd be amazed at how fast the costs can add up.",add up,add up,add
"Add it a spoonful at a time, tasting as you go.",add it,add n,add
"An addendum to the report was later filed on January 3, 2018.",addendum to the report,addendum to n,addendum
I’m not a drug addict or a drunk.,a drug addict,n addict,addict
Are you addicted to it?,addicted to it,addicted to n,addicted
They pay the human cost of cheap sugar and addiction to it.,addiction to it,addiction to n,addiction
Do they know how deep his addiction may run?,his addiction,"x+'s addiction",addiction
Do they know how deep his addiction may run?,his addiction,n addiction,addiction
"In addition to his foresight and optimism, he had skills.",addition to his,addition to n,addition
The addition of one or two new directors will not suffice.,addition of one,addition of n,addition
The new courts are a great addition to the game.,great addition,adj addition,addition
"In addition to an income, the job provided her with clarity.",in addition,in addition,addition
"Jarndyce, I address myself to you.",address myself to you,address n to n,address
The address you send it to is on the form itself.,address you,address n,address
"By having a policy in place, you can address these issues as they come up.",address these issues as they,address n as n,address
Office box and a mail redirect from my home address to the box.,address to the box,address to n,address
Got an email back to call to verify my address.,my address,"x+'s address",address
This e-mail is intended only for the addressee named above.,the addressee,the addressee,addressee
He was more adept with his machete than his rifle.,adept with his,adept with n,adept
I was not adept at it at all.,adept at it,adept at n,adept
"However, this is considered adequate for the purpose of this research.",adequate for the purpose,adequate for n,adequate
Yes ; my opinion is that it is adequate as it stands.,adequate as it,adequate as n,adequate
"As a result,'direct style' recursive programming is adequate to the task.",adequate to the task,adequate to n,adequate
"The vitamin A, D2, B2 and B12 additions were 514 adequate to meet the N.R.C.",adequate to meet,adequate to-inf,adequate
You may find it difficult to adhere to the plan later.,adhere to,adhere adv/prep,adhere
You may find it difficult to adhere to the plan later.,adhere to,adhere prep/adv,adhere
"In summary, it is recommended to adhere to the following procedure for testing ACIP piles.",adhere to the following,adhere to n,adhere
"Strict adherence to the principles of the technique, as presented in the teaching manual, is mandatory.",adherence to the principles,adherence to n,adherence
The two questions were adjacent to each other.,adjacent to each other,adjacent to n,adjacent
The state General Assembly is pushing to adjourn for the year in late June or early July.,adjourn for the year,adjourn for n,adjourn
This error limit would be those that have the diseases and the normogram would adjudge them to be diseases free.,adjudge them to be,adjudge n to-inf,adjudge
How might one adjudicate between them?,adjudicate between them,adjudicate between pl-n,adjudicate
IPSO considered there to be no need to adjudicate on the matter.,adjudicate on the matter,adjudicate on n,adjudicate
Brock presents an embellishing and graceful adjunct to his public qualities.,adjunct to his,adjunct to n,adjunct
A thumb wheel lets you adjust it to your needs.,adjust it to your needs,adjust n to n,adjust
"There's no way we can adjust to it.",adjust to it,adjust to n,adjust
The resulting adjustment in the contract price would therefore be somewhat greater than if the labor and material costs had been fixed in the contract.,adjustment in the contract,adjustment in n,adjustment
This is going to be a serious life adjustment for me.,adjustment for me,adjustment for n,adjustment
Rear band out of adjustment 1d.,out of adjustment,out of adjustment,adjustment
We administer it to anybody who seems to be qualified.,administer it to anybody,administer n to n,administer
We can’t let the administration write this inhumane practice into law.,the administration,the administration,administration
"Now, we hope his administration actually lives up to its promises.",his administration,n administration,administration
And I find it admirable that you want to help your mom.,find it admirable that,v it admirable that,admirable
It is admirable that Tebow is still eyeing his dream.,it is admirable that,it v-link admirable that,admirable
Truman won the admiration of his public.,admiration of his,admiration of n,admiration
"Writer Robert Wright even earned Tyson's admiration for his putdown.",admiration for his,admiration for n,admiration
"For years, I’ve watched with admiration as Dr.",with admiration,with admiration,admiration
Where we unite is in admiration.,in admiration,in admiration,admiration
Admire him for his wisdom and his virtue!,admire him for his,admire n for n,admire
Cicely shot an exterminating glance at her admirer.,her admirer,"x+'s admirer",admirer
Admission to the program is free.,admission to the program,admission to n,admission
"Moreover, prosecutors may object to the admission of the evidence on the grounds that the jury will be confused as to the “real” issue.",admission of the evidence,admission of n,admission
It was an admission that yanked at my heart.,admission that,admission that,admission
"I hate to admit it but she looked stunning, as usual!",admit it,admit  n,admit
"I hate to admit it but she looked stunning, as usual!",admit it,admit n,admit
The hardest thing that I found was to admit it to myself.,admit it to myself,admit n to n,admit
You mean you use TPB and admit to it on a public forum?,admit to it,admit to n,admit
I’ll be the first to admit that I’m not a royalist.,admit that,admit that,admit
Admittance into the program would be based upon the practical experience previously gained in the gardening profession.,admittance into the program,admittance into n,admittance
"Admittance to the program is by application, and not all who apply are accepted.",admittance to the program,admittance to n,admittance
Admonish the jury to disregard the media publicity about the case; or 6.,admonish the jury to disregard,admonish n to-inf,admonish
But he would also admonish him for his found - articles shelf.,admonish him for his,admonish n for n,admonish
Do without ado.,without ado,without ado,ado
I experienced the agony of defeat most people leave behind in adolescence.,in adolescence,in adolescence,adolescence
Why not fully adopt it as a testing program for now?,adopt it,adopt n,adopt
Shadow IT is on the rise as employees adopt new technologies.,adopt,adopt,adopt
The Council shall adopt such rules as it deems necessary.,adopt such rules as it,adopt n as n,adopt
Brewis was a Gallovidian by adoption and by choice.,by adoption,by adoption,adoption
Kuhn was four minutes adrift of the leaders.,adrift of the leaders,adrift of n,adrift
We tried to be adult about it.,adult about it,adult about n,adult
She is then accused of adultery with her neighbour.,adultery with her,adultery with n,adultery
We tested for PPVT differences in childhood and in adulthood.,in adulthood,in adulthood,adulthood
Buy your tickets in advance — last year’s show sold out!,advance,advance,advance
We recommend doing a test run in advance of your event.,advance of,advance prep/adv,advance
In the case of members paying monthly the subscription shall be due in advance on the first day of each month.,advance on the first,advance on n,advance
About one to advance towards the enemy.,advance towards the enemy,advance towards n,advance
We recommend doing a test run in advance of your event.,advance of,advance adv/prep,advance
You can start with entry-level IT jobs and gain the experience you’ll need to advance in your career.,advance in your career,advance in n,advance
We need to establish in advance what time you will reach the town.,advance what time you,advance n n,advance
"As always, technological advancement is a gift and a curse.",technological advancement,adj advancement,advancement
Walton made sexual advances towards her.,advances towards her,advances towards n,advances
You would find my answers of no advantage to you.,advantage to you,advantage to n,advantage
"If we’re all working, how can we take advantage of it?",advantage of it,advantage of n,advantage
"Take the time to automate key processes, and gain a clear advantage over your competitors.",advantage over your competitors,advantage over n,advantage
You’ve got an advantage that you need to play up.,advantage that,advantage that,advantage
"If it appears more advantageous to you, chain it.",advantageous to you,advantageous to n,advantageous
You have to decide if lessons will be advantageous for you.,advantageous for you,advantageous for n,advantageous
"Accordingly, the parties may find it advantageous to request time for oral argument.",find it advantageous to request,v it advantageous to-inf,advantageous
"In this case, it is advantageous to use the LWS.",it is advantageous to use,it v-link advantageous to-inf,advantageous
"With the advent of the web, we had to have a web based email.",advent of the web,advent of n,advent
This is the go-to laptop for any adventure in life.,adventure in,adventure prep/adv,adventure
This is the go-to laptop for any adventure in life.,adventure in,adventure adv/prep,adventure
CRITICAL NOTE. adventurous about it.,adventurous about it,adventurous about n,adventurous
The Jew is adventurous with his money.,adventurous with his,adventurous with n,adventurous
But he didn’t want to clue in his adversary.,his adversary,"x+'s adversary",adversary
There is comedy in adversity not in nastiness.,in adversity,in adversity,adversity
We saw an advert for it.,advert for it,advert for n,advert
"I wasn’t trying to advertise it to get a freebie, honestly.",advertise,advertise,advertise
We advertise for them!,advertise for them,advertise for n,advertise
Now plan and present an advertisement for your community.,advertisement for your community,advertisement for n,advertisement
"Look at the adverts, they don't have IT managers.",the adverts,the adverts,adverts
I never got advice about anything.,advice about anything,advice about n,advice
I phone her for advice on everything.,advice on everything,advice on n,advice
Get advice from your physician or a pharmacist before you buy them.,advice from your physician,advice from n,advice
My advice to you is to get a vocal coach.,advice to you,advice to n,advice
Any advice as to how to get out of the late winter food slump?,advice as to how,advice as to wh,advice
Is there a piece of advice that you always return to?,advice that,advice that,advice
Do not rely on advice in this column for legal opinions.,on advice,on advice,advice
"In order to outweigh such drawback, it is advisable to use blended ratios.",it is advisable to use,it v-link advisable to-inf,advisable
Is it Advisable to Sell Cull Boars to Farmers ?,is it advisable to sell,v it advisable to-inf,advisable
It is advisable that a good pulse-pressure should be ensured.,it is advisable that,it v-link advisable that,advisable
I advise you to check on these.,advise you to check,advise n to-inf,advise
They can usually advise on all aspects of law and also advise battered women.,advise on all aspects,advise on n,advise
Your legal assistance attorney can advise you about your needs.,advise you about your needs,advise n about n,advise
Did any one advise you as to what you were 7527.,advise you as to what,advise n as to wh,advise
It can advise you of the status of its efforts.,advise you of the status,advise n of n,advise
Can you advise how to avoid superficiality in living ?,advise how to avoid,advise wh-to-inf,advise
They actually advise AGAINST it.,advise against it,advise against n,advise
She’s actually a Senior Adviser to the President.,adviser to the president,adviser to n,adviser
No need to meet with a financial adviser face to face.,financial adviser,adj adviser,adviser
That may be the individual investor and/or their adviser.,their adviser,"x+'s adviser",adviser
HCM is registered as an investment adviser.,an investment adviser,n adviser,adviser
And union leaders sensed pressure to tamp down their advocacy.,their advocacy,"x+'s advocacy",advocacy
Was Beeker an open advocate of the independent candidate ?,advocate of the independent,advocate of n,advocate
I also advocate that there be a cost to admittance.,advocate that,advocate that,advocate
Are the people who advocate these policies hyper-partisans?,who advocate,n advocate,advocate
We read of the aediles under aegis was afterwards confined.,under aegis,under aegis,aegis
Is this really working with the aesthetic of this room?,the aesthetic,the aesthetic,aesthetic
He was a teacher having an affair with his teenage student.,affair with his,affair with n,affair
The love affair with the automobile had begun.,love affair with the automobile,love affair with n,affair
The theme of Book 6 begins with a love affair between a knight and a married lady.,love affair between a knight,love affair between pl-n,affair
I wouldn’t change a thing about the whole affair.,whole affair,adj affair,affair
His love affair with the trade had begun.,his love affair,"x+'s love affair",affair
I wouldn’t change a thing about the whole affair.,the whole affair,n affair,affair
Can we survive his affair?,his affair,"x+'s affair",affair
I’m Neal Schiff of the FBI’s Office of Public Affairs.,public affairs,adj affairs,affairs
They have been in charge of their affairs since the 1990s.,their affairs,"x+'s affairs",affairs
"Here's a look at the current state of affairs.",current state of affairs,adj state of affairs,affairs
"His affairs were in order and he felt, he told me, at peace.",his affairs,n affairs,affairs
At this stage we expect him to have more negative affect to express than he readily or appropriately can express.,affect to express,affect to-inf,affect
Your rocking of the boat does not just affect you.,affect you,affect n,affect
It affected us in ways that’s hard to explain.,it affected,n affected,affected
You have affection for her.,affection for her,affection for n,affection
I never noticed any other sign of affection between them than this.,affection between them,affection between pl-n,affection
Do you regard him with affection now?,with affection,with affection,affection
You were affectionate with each other whenever you were together.,affectionate with each other,affectionate with n,affectionate
There was nothing affectionate about it.,affectionate about it,affectionate about n,affectionate
